,puskesmas,kecamatan,lat_long,bumil_sasaran,bumil_yankesStandar,jlh_penduduk_2021,dbd_m_2021,dbd_f_2021,dbd_2021,diare_2021,diare_balita_2021,diabetes_2021,hipertensi_m_2021,hipertensi_f_2021,hipertensi_2021,jlh_penduduk_2020,dbd_m_2020,dbd_f_2020,dbd_2020,diare_2020,diare_balita_2020,diabetes_2020,hipertensi_m_2020,hipertensi_f_2020,hipertensi_2020,jlh_penduduk_2019,dbd_m_2019,dbd_f_2019,dbd_2019,diare_2019,diare_balita_2019,diabetes_2019,hipertensi_m_2019,hipertensi_f_2019,hipertensi_2019,jlh_penduduk_2018,dbd_m_2018,dbd_f_2018,dbd_2018,diare_2018,diare_balita_2018,diabetes_2018,hipertensi_m_2018,hipertensi_f_2018,hipertensi_2018,lat,long
1,Tanjung Redeb,TANJUNG REDEB,"2.1538576,117.4935134",739,588,37102,10,5,15,168,69,627,5400,3773,9173,38500,22,15,37,155,48,627,4986,4187,9173,37318,77,33,110,420,173,607,5822,5019,10841,36069,30,18,48,321,162,607,5778,5063,10841,2.154,117.494
2,Kampung Bugis,TANJUNG REDEB,"2.1573574,117.5025052",605,424,30368,16,7,23,101,52,527,3692,4009,7701,32338,17,27,44,288,140,527,4111,3590,7701,32324,79,66,145,618,311,601,5766,4971,10737,32671,21,14,35,631,353,601,5626,5111,10737,2.157,117.503
3,Teluk Bayur,TELUK BAYUR,"2.1473719,117.4117468",388,344,19496,5,0,5,105,55,332,2102,2756,4858,20389,6,1,7,140,45,332,2643,2215,4858,19677,0,0,0,367,151,338,300,257,557,18436,8,4,12,353,150,338,294,263,557,2.147,117.412
4,Labanan,TELUK BAYUR,"2.0663718,117.3018425",193,185,9685,0,0,0,53,7,165,1050,1362,2412,10112,6,1,7,191,50,165,1365,1047,2412,9830,1,1,2,567,168,137,121,105,226,9444,3,2,5,720,242,137,125,101,226,2.066,117.302
5,Gunung Tabur,GUNUNG TABUR,"2.1657568,117.4827972",376,374,18859,2,4,6,193,100,309,1980,2540,4520,18954,11,3,14,223,105,309,2543,1977,4520,17893,33,33,66,565,229,270,221,191,412,16795,10,8,18,849,314,270,226,186,412,2.166,117.483
6,Merancang,GUNUNG TABUR,"2.2106471,117.658782",110,110,5536,0,0,0,71,43,93,840,521,1361,5708,7,3,10,78,31,93,758,603,1361,5649,0,0,0,243,63,89,74,63,137,5502,4,1,5,285,135,89,75,62,137,2.211,117.659
7,Sambaliung,SAMBALIUNG,"2.1679274,117.5002965",589,433,29549,9,2,11,15,4,486,4732,2378,7110,29829,10,2,12,244,89,486,3935,3175,7110,28639,44,42,86,886,356,452,313,270,583,27248,13,12,25,869,329,452,316,267,583,2.168,117.500
8,Suaran,SAMBALIUNG,"2.018694,117.6365951",128,90,6534,0,1,1,61,26,109,699,892,1591,6676,0,1,1,157,70,109,892,699,1591,6845,1,4,5,205,84,131,93,81,174,7227,2,1,3,237,134,131,95,79,174,2.019,117.637
9,Tanjung Batu,PL DERAWAN,"2.2763174,117.9394341",197,197,9892,0,0,0,352,117,156,965,1313,2278,9562,0,0,0,247,64,156,1237,1041,2278,9310,0,0,0,414,174,136,22,19,41,9067,0,0,0,456,188,136,22,19,41,2.276,117.939
10,Pulau Derawan,PL DERAWAN,"2.28428,118.2388125",30,27,1443,0,0,0,36,13,25,210,156,366,1537,0,0,0,48,12,25,192,174,366,1558,0,0,0,68,18,27,114,99,213,1542,0,1,1,62,15,27,111,102,213,2.284,118.239
11,Maratua,MARATUA,"2.2375089,118.5658994",69,47,3495,1,0,1,63,17,58,373,469,842,3538,0,1,1,138,32,58,436,406,842,3543,0,0,0,168,44,80,65,57,122,3621,3,0,3,206,62,80,63,59,122,2.238,118.566
12,Tubaan,TABALAR,"1.8132099,117.8664797",134,111,6760,0,0,0,50,28,114,824,848,1672,7018,0,3,3,117,53,114,912,760,1672,6744,4,0,4,292,140,119,97,84,181,674,1,0,1,261,128,119,98,83,181,1.813,117.866
13,Biatan Lempake,BIATAN,"1.6731964,118.0155468",151,135,7557,0,0,0,95,22,125,970,866,1836,7702,5,1,6,255,84,125,1007,829,1836,7539,2,0,2,452,165,124,105,91,196,7327,0,0,0,467,166,124,107,89,196,1.673,118.016
14,Talisayan,TALISAYAN,"1.6021871,118.1745659",274,247,13720,3,0,3,71,35,226,1860,1447,3307,13882,16,10,26,207,74,226,1802,1505,3307,13665,21,11,32,271,91,204,164,141,305,13468,0,0,0,269,92,204,165,140,305,1.602,118.175
15,Batu Putih,BATU PUTIH,"1.3700906,118.4166383",156,156,7840,0,0,0,40,2,130,973,918,1891,7936,5,5,10,86,21,130,1034,857,1891,7765,13,6,19,226,88,145,136,118,254,8048,2,2,4,508,181,145,138,116,254,1.370,118.417
16,Biduk-Biduk,BIDUK BIDUK,"1.236505,118.7033922",130,109,6521,0,0,0,41,16,106,706,852,1558,6543,0,0,0,11,4,106,822,736,1558,6396,0,0,0,188,62,115,91,78,169,6592,0,0,0,175,42,115,88,81,169,1.237,118.703
17,Kelay,KELAY,"1.8809994,116.3853162",35,34,2461,0,0,0,29,17,41,310,292,602,2525,0,0,0,45,8,41,338,264,602,2633,0,2,2,121,46,52,40,35,75,2696,0,0,0,151,73,52,41,34,75,1.881,116.385
18,Merapun,KELAY,"1.4710446,117.1920338",18,55,2129,0,0,0,83,50,34,242,246,488,2049,0,0,0,98,37,34,276,212,488,2058,0,1,1,249,126,35,27,23,50,182,0,0,0,338,177,35,28,22,50,1.471,117.192
19,Long Boy,KELAY,"1.8406756,116.8668886",58,13,854,0,0,0,14,1,14,96,108,204,844,0,0,0,34,13,14,115,89,204,845,0,0,0,28,12,21,17,14,31,935,0,0,0,50,15,21,17,14,31,1.841,116.867
20,Tepian Buah,SEGAH,"2.1753843,117.0935352",239,201,11954,8,4,12,10,2,189,1126,1635,2761,11580,14,9,23,94,39,189,1561,1200,2761,11083,10,3,13,414,139,171,140,121,261,103,3,4,7,471,148,171,145,116,261,2.175,117.094
21,Long Laai,SEGAH,"2.2346062,116.7575884",21,21,977,0,1,1,38,17,16,104,135,239,992,0,0,0,40,8,16,137,102,239,973,3,4,7,109,42,13,11,9,20,961,0,0,0,96,19,13,11,9,20,2.235,116.758
